"name","iata"
"Tallinn","TLL"
"Luton","LTN"
"Lech Walesa","GDN"
"Balice","KRK"
"Pyrzowice","KTW"
"Lawica","POZ"
"Jasionka","RZE"
"Goleniow","SZZ"
"Okecie","WAW"
"Strachowice","WRO"
"Burgas","BOJ"
"Plovdiv","PDV"
"Sofia","SOF"
"Varna","VAR"
"Ferihegy","BUD"
"Debrecen","DEB"
"Ljubljana","LJU"
"Mosnov","OSR"
"Ruzyne","PRG"
"Turany","BRQ"
"Mihail Kogalniceanu","CND"
"Cluj Napoca","CLJ"
"Craiova","CRA"
"Iasi","IAS"
"Henri Coanda","OTP"
"Sibiu","SBZ"
"Transilvania Targu Mures","TGM"
"Traian Vuia","TSR"
"Chisinau Intl","KIV"
"Ohrid","OHD"
"Skopje","SKP"
"Beograd","BEG"
"Nis","INI"
"M R Stefanik","BTS"
"Kosice","KSC"
"Tatry","TAT"
"Zhuliany Intl","IEV"
"Riga Intl","RIX"
"Kaunas Intl","KUN"
"Vilnius Intl","VNO"
"Łódź Władysław Reymont Airport","LCJ"
"Bydgoszcz Ignacy Jan Paderewski Airport","BZG"
"Warsaw Modlin","WMI"
"Lublin","LUZ"
"Sarajevo - Tuzla","TZL"
