"","flight.date","fl.num","origin","dest","dep.time","arr.time","equipment","weekday","dep.airport","dep.city","dep.country","dep.lat","dep.long","arr.airport","arr.city","arr.country","arr.lat","arr.long"
"1","2016-01-27","W61002","LTN","KTW",2016-01-27 08:15:00,2016-01-27 11:30:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"2","2016-01-27","W61006","LTN","KTW",2016-01-27 20:20:00,2016-01-27 23:35:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"3","2016-01-27","W61016","DSA","KTW",2016-01-27 21:20:00,2016-01-28 00:35:00,"32S","Wed","Robin Hood Doncaster Sheffield Airport","Doncaster, Sheffield","United Kingdom",53.474722,-1.004444,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"4","2016-01-27","W61072","EIN","KTW",2016-01-27 13:55:00,2016-01-27 15:40:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"5","2016-01-27","W61092","DTM","KTW",2016-01-27 08:15:00,2016-01-27 09:50:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"6","2016-01-27","W61098","DTM","KTW",2016-01-27 17:15:00,2016-01-27 18:50:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"7","2016-01-27","W61158","NAP","KTW",2016-01-27 13:00:00,2016-01-27 15:00:00,"32S","Wed","Capodichino","Naples","Italy",40.886033,14.290781,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"8","2016-01-27","W61176","BCN","KTW",2016-01-27 20:55:00,2016-01-27 23:45:00,"32S","Wed","Barcelona","Barcelona","Spain",41.297078,2.078464,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"9","2016-01-27","W61202","NYO","KTW",2016-01-27 08:50:00,2016-01-27 10:35:00,"32S","Wed","Skavsta","Stockholm","Sweden",58.788636,16.912189,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"10","2016-01-27","W61210","MMX","KTW",2016-01-27 13:00:00,2016-01-27 14:20:00,"32S","Wed","Sturup","Malmoe","Sweden",55.530193,13.371639,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"11","2016-01-27","W61216","TRF","KTW",2016-01-27 08:55:00,2016-01-27 10:50:00,"32S","Wed","Torp","Sandefjord","Norway",59.186703,10.258628,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"12","2016-01-27","W61284","TLV","KTW",2016-01-27 21:10:00,2016-01-27 23:55:00,"32S","Wed","Ben Gurion","Tel-aviv","Israel",32.011389,34.886667,"Pyrzowice","Katowice","Poland",50.474253,19.080019
"13","2016-01-27","W61302","LTN","WAW",2016-01-27 08:20:00,2016-01-27 11:45:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Okecie","Warsaw","Poland",52.16575,20.967122
"14","2016-01-27","W61306","LTN","WAW",2016-01-27 14:25:00,2016-01-27 17:50:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Okecie","Warsaw","Poland",52.16575,20.967122
"15","2016-01-27","W61310","LTN","WAW",2016-01-27 20:35:00,2016-01-27 23:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Okecie","Warsaw","Poland",52.16575,20.967122
"16","2016-01-27","W61372","EIN","WAW",2016-01-27 16:45:00,2016-01-27 18:35:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Okecie","Warsaw","Poland",52.16575,20.967122
"17","2016-01-27","W61382","CRL","WAW",2016-01-27 21:00:00,2016-01-27 22:50:00,"32S","Wed","Brussels South","Charleroi","Belgium",50.459197,4.453817,"Okecie","Warsaw","Poland",52.16575,20.967122
"18","2016-01-27","W61392","DTM","WAW",2016-01-27 21:15:00,2016-01-27 22:55:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Okecie","Warsaw","Poland",52.16575,20.967122
"19","2016-01-27","W61442","FCO","WAW",2016-01-27 15:15:00,2016-01-27 17:45:00,"32S","Wed","Fiumicino","Rome","Italy",41.804475,12.250797,"Okecie","Warsaw","Poland",52.16575,20.967122
"20","2016-01-27","W61502","NYO","WAW",2016-01-27 13:30:00,2016-01-27 15:00:00,"32S","Wed","Skavsta","Stockholm","Sweden",58.788636,16.912189,"Okecie","Warsaw","Poland",52.16575,20.967122
"21","2016-01-27","W61510","MMX","WAW",2016-01-27 13:25:00,2016-01-27 14:40:00,"32S","Wed","Sturup","Malmoe","Sweden",55.530193,13.371639,"Okecie","Warsaw","Poland",52.16575,20.967122
"22","2016-01-27","W61516","TRF","WAW",2016-01-27 21:40:00,2016-01-27 23:30:00,"32S","Wed","Torp","Sandefjord","Norway",59.186703,10.258628,"Okecie","Warsaw","Poland",52.16575,20.967122
"23","2016-01-27","W61520","BGO","WAW",2016-01-27 09:10:00,2016-01-27 11:25:00,"32S","Wed","Flesland","Bergen","Norway",60.293386,5.218142,"Okecie","Warsaw","Poland",52.16575,20.967122
"24","2016-01-27","W61602","LTN","GDN",2016-01-27 08:15:00,2016-01-27 11:30:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"25","2016-01-27","W61608","LTN","GDN",2016-01-27 19:35:00,2016-01-27 22:45:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"26","2016-01-27","W61616","DSA","GDN",2016-01-27 20:55:00,2016-01-27 23:55:00,"32S","Wed","Robin Hood Doncaster Sheffield Airport","Doncaster, Sheffield","United Kingdom",53.474722,-1.004444,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"27","2016-01-27","W61618","ABZ","GDN",2016-01-27 20:40:00,2016-01-27 23:55:00,"32S","Wed","Dyce","Aberdeen","United Kingdom",57.201944,-2.197778,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"28","2016-01-27","W61632","BVA","GDN",2016-01-27 13:00:00,2016-01-27 15:00:00,"32S","Wed","Tille","Beauvais","France",49.454444,2.112778,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"29","2016-01-27","W61642","EIN","GDN",2016-01-27 11:35:00,2016-01-27 13:15:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"30","2016-01-27","W61662","DTM","GDN",2016-01-27 08:10:00,2016-01-27 09:40:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"31","2016-01-27","W61676","LBC","GDN",2016-01-27 15:35:00,2016-01-27 16:40:00,"32S","Wed","Lubeck Blankensee","Luebeck","Germany",53.805367,10.719222,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"32","2016-01-27","W61732","NYO","GDN",2016-01-27 07:40:00,2016-01-27 08:45:00,"32S","Wed","Skavsta","Stockholm","Sweden",58.788636,16.912189,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"33","2016-01-27","W61734","NYO","GDN",2016-01-27 21:45:00,2016-01-27 22:50:00,"32S","Wed","Skavsta","Stockholm","Sweden",58.788636,16.912189,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"34","2016-01-27","W61744","TRF","GDN",2016-01-27 08:20:00,2016-01-27 09:45:00,"32S","Wed","Torp","Sandefjord","Norway",59.186703,10.258628,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"35","2016-01-27","W61746","BGO","GDN",2016-01-27 11:40:00,2016-01-27 13:25:00,"32S","Wed","Flesland","Bergen","Norway",60.293386,5.218142,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"36","2016-01-27","W61748","SVG","GDN",2016-01-27 18:00:00,2016-01-27 19:35:00,"32S","Wed","Sola","Stavanger","Norway",58.876778,5.637856,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"37","2016-01-27","W61766","AES","GDN",2016-01-27 16:40:00,2016-01-27 18:35:00,"32S","Wed","Vigra","Alesund","Norway",62.560372,6.110164,"Lech Walesa","Gdansk","Poland",54.377569,18.466222
"38","2016-01-27","W61802","LTN","WRO",2016-01-27 07:55:00,2016-01-27 11:00:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Strachowice","Wroclaw","Poland",51.102683,16.885836
"39","2016-01-27","W61826","EIN","WRO",2016-01-27 13:40:00,2016-01-27 15:10:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Strachowice","Wroclaw","Poland",51.102683,16.885836
"40","2016-01-27","W61880","TRF","WRO",2016-01-27 21:55:00,2016-01-27 23:40:00,"32S","Wed","Torp","Sandefjord","Norway",59.186703,10.258628,"Strachowice","Wroclaw","Poland",51.102683,16.885836
"41","2016-01-27","W61902","LTN","POZ",2016-01-27 16:20:00,2016-01-27 19:25:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Lawica","Poznan","Poland",52.421031,16.826325
"42","2016-01-27","W61916","DSA","POZ",2016-01-27 20:35:00,2016-01-27 23:35:00,"32S","Wed","Robin Hood Doncaster Sheffield Airport","Doncaster, Sheffield","United Kingdom",53.474722,-1.004444,"Lawica","Poznan","Poland",52.421031,16.826325
"43","2016-01-27","W61922","BVA","POZ",2016-01-27 16:30:00,2016-01-27 18:25:00,"32S","Wed","Tille","Beauvais","France",49.454444,2.112778,"Lawica","Poznan","Poland",52.421031,16.826325
