"","flight.nums.i.","flight.origin","flight.dest","airline"
"1","FR11","STN","ATH","FR"
"2","FR12","ATH","STN","FR"
"3","FR14","ATH","STN","FR"
"4","FR15","STN","ATH","FR"
"5","FR16","ATH","SKG","FR"
"6","FR17","SKG","ATH","FR"
"7","FR18","ATH","SKG","FR"
"8","FR19","SKG","ATH","FR"
"9","FR22","DUB","BVA","FR"
"10","FR23","BVA","DUB","FR"
"11","FR26","DUB","BVA","FR"
"12","FR27","SKG","ATH","FR"
"13","FR28","ATH","SKG","FR"
"14","FR29","BVA","DUB","FR"
"15","FR32","STN","TRF","FR"
"16","FR33","TRF","STN","FR"
"17","FR46","DUB","CRL","FR"
"18","FR47","CRL","DUB","FR"
"19","FR52","STN","NYO","FR"
"20","FR53","NYO","STN","FR"
"21","FR54","STN","NYO","FR"
"22","FR55","NYO","STN","FR"
"23","FR58","STN","NYO","FR"
"24","FR59","NYO","STN","FR"
"25","FR73","CCF","STN","FR"
"26","FR102","SNN","STN","FR"
"27","FR103","STN","SNN","FR"
"28","FR108","SNN","STN","FR"
"29","FR109","STN","SNN","FR"
"30","FR110","SXF","PMI","FR"
"31","FR111","PMI","SXF","FR"
"32","FR112","DUB","LGW","FR"
"33","FR113","LGW","DUB","FR"
"34","FR114","DUB","LGW","FR"
"35","FR115","LGW","DUB","FR"
"36","FR116","DUB","LGW","FR"
"37","FR117","LGW","DUB","FR"
"38","FR118","DUB","LGW","FR"
"39","FR119","LGW","DUB","FR"
"40","FR120","CGN","BGY","FR"
"41","FR121","BGY","CGN","FR"
"42","FR122","DUB","LGW","FR"
"43","FR123","LGW","DUB","FR"
"44","FR124","STN","AOI","FR"
"45","FR125","AOI","STN","FR"
"46","FR128","BCN","HAM","FR"
"47","FR129","HAM","BCN","FR"
"48","FR130","CGN","OPO","FR"
"49","FR131","OPO","CGN","FR"
"50","FR132","SXF","BCN","FR"
"51","FR133","BCN","SXF","FR"
"52","FR134","SXF","CIA","FR"
"53","FR135","CIA","SXF","FR"
"54","FR136","SXF","BLQ","FR"
"55","FR137","BLQ","SXF","FR"
"56","FR138","SXF","VLC","FR"
"57","FR139","VLC","SXF","FR"
"58","FR140","SXF","CIA","FR"
"59","FR141","CIA","SXF","FR"
"60","FR142","DUB","LGW","FR"
"61","FR143","LGW","DUB","FR"
"62","FR144","SXF","STN","FR"
"63","FR145","STN","SXF","FR"
"64","FR146","SXF","STN","FR"
"65","FR147","STN","SXF","FR"
"66","FR148","SXF","BCN","FR"
"67","FR149","BCN","SXF","FR"
"68","FR150","SXF","GLA","FR"
"69","FR151","GLA","SXF","FR"
"70","FR152","DUB","LBA","FR"
"71","FR153","LBA","DUB","FR"
"72","FR154","MAD","HAM","FR"
"73","FR155","HAM","MAD","FR"
"74","FR156","DUB","LBA","FR"
"75","FR157","LBA","DUB","FR"
"76","FR158","SXF","ALC","FR"
"77","FR159","ALC","SXF","FR"
"78","FR160","CPH","DUB","FR"
"79","FR161","DUB","CPH","FR"
"80","FR162","SXF","BRU","FR"
"81","FR163","BRU","SXF","FR"
"82","FR164","SXF","BRU","FR"
"83","FR166","SXF","BRU","FR"
"84","FR167","BRU","SXF","FR"
"85","FR168","STN","TRS","FR"
"86","FR169","TRS","STN","FR"
"87","FR170","SXF","ATH","FR"
"88","FR171","ATH","SXF","FR"
"89","FR172","DUB","NCL","FR"
"90","FR173","NCL","DUB","FR"
"91","FR174","DUB","NCL","FR"
"92","FR175","NCL","DUB","FR"
"93","FR178","CGN","VLC","FR"
"94","FR179","VLC","CGN","FR"
"95","FR180","CGN","SXF","FR"
"96","FR181","SXF","CGN","FR"
"97","FR182","CGN","SXF","FR"
"98","FR183","SXF","CGN","FR"
"99","FR184","CGN","SXF","FR"
"100","FR185","SXF","CGN","FR"
"101","FR186","CGN","SXF","FR"
"102","FR187","SXF","CGN","FR"
"103","FR188","CGN","SXF","FR"
"104","FR189","SXF","CGN","FR"
"105","FR190","CGN","SXF","FR"
"106","FR191","SXF","CGN","FR"
"107","FR192","CGN","ALC","FR"
"108","FR193","ALC","CGN","FR"
"109","FR194","STN","BLQ","FR"
"110","FR198","SXF","BTS","FR"
"111","FR199","BTS","SXF","FR"
"112","FR200","CPH","CRL","FR"
"113","FR201","CRL","CPH","FR"
"114","FR202","DUB","STN","FR"
"115","FR203","STN","DUB","FR"
"116","FR205","STN","DUB","FR"
"117","FR206","DUB","STN","FR"
"118","FR211","DUB","STN","FR"
"119","FR212","STN","DUB","FR"
"120","FR225","STN","DUB","FR"
"121","FR231","AHO","STN","FR"
"122","FR245","BCN","VGO","FR"
"123","FR246","VGO","BCN","FR"
"124","FR271","STN","DUB","FR"
"125","FR272","DUB","STN","FR"
"126","FR288","DUB","STN","FR"
"127","FR293","STN","DUB","FR"
"128","FR294","DUB","STN","FR"
"129","FR297","STN","DUB","FR"
"130","FR298","DUB","STN","FR"
"131","FR300","CPH","CRL","FR"
"132","FR301","CRL","CPH","FR"
"133","FR302","CGN","LPA","FR"
"134","FR303","LPA","CGN","FR"
"135","FR304","STN","SZG","FR"
"136","FR305","SZG","STN","FR"
"137","FR306","STN","SZG","FR"
"138","FR307","SZG","STN","FR"
