"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"1","2016-01-23","FR9021","ATH","EPMO","2016-01-23T15:50:00.000","2016-01-23T17:30:00.000","738"
"2","2016-01-23","FR4059","AGP","EPMO","2016-01-23T15:10:00.000","2016-01-23T19:05:00.000","738"
"3","2016-01-23","FR4055","BVA","EPMO","2016-01-23T15:55:00.000","2016-01-23T18:10:00.000","738"
"4","2016-01-23","FR6944","BCN","EPMO","2016-01-23T16:20:00.000","2016-01-23T19:30:00.000","738"
"5","2016-01-23","FR1062","MAD","EPMO","2016-01-23T16:30:00.000","2016-01-23T19:55:00.000","738"
"6","2016-01-23","FR7011","NYO","EPMO","2016-01-23T16:35:00.000","2016-01-23T18:05:00.000","738"
"7","2016-01-23","FR2283","STN","EPMO","2016-01-23T18:00:00.000","2016-01-23T21:15:00.000","738"
"8","2016-01-23","FR4135","BRS","EPMO","2016-01-23T18:05:00.000","2016-01-23T21:35:00.000","738"
"9","2016-01-24","FR6124","LPA","EPMO","2016-01-23T18:10:00.000","2016-01-24T00:45:00.000","738"
"10","2016-01-24","FR546","GOT","EPMO","2016-01-24T08:00:00.000","2016-01-24T09:35:00.000","738"
"11","2016-01-24","FR4043","LPL","EPMO","2016-01-24T06:35:00.000","2016-01-24T10:05:00.000","738"
"12","2016-01-24","FR1062","MAD","EPMO","2016-01-24T08:00:00.000","2016-01-24T11:25:00.000","738"
"13","2016-01-24","FR7023","RYG","EPMO","2016-01-24T07:00:00.000","2016-01-24T08:50:00.000","738"
"14","2016-01-24","FR1021","STN","EPMO","2016-01-24T08:55:00.000","2016-01-24T12:10:00.000","738"
"15","2016-01-24","FR8011","DUB","EPMO","2016-01-24T09:35:00.000","2016-01-24T13:25:00.000","738"
"16","2016-01-24","FR7025","CIA","EPMO","2016-01-24T11:10:00.000","2016-01-24T13:30:00.000","738"
"17","2016-01-24","FR8878","SNN","EPMO","2016-01-24T11:20:00.000","2016-01-24T15:20:00.000","738"
"18","2016-01-24","FR7011","NYO","EPMO","2016-01-24T11:30:00.000","2016-01-24T13:00:00.000","738"
"19","2016-01-24","FR2281","STN","EPMO","2016-01-24T12:00:00.000","2016-01-24T15:15:00.000","738"
"20","2016-01-24","FR5717","BLQ","EPMO","2016-01-24T13:20:00.000","2016-01-24T15:25:00.000","738"
"21","2016-01-24","FR2669","STN","EPMO","2016-01-24T14:15:00.000","2016-01-24T17:30:00.000","738"
"22","2016-01-24","FR4021","EIN","EPMO","2016-01-24T15:35:00.000","2016-01-24T17:25:00.000","738"
"23","2016-01-24","FR9021","ATH","EPMO","2016-01-24T15:50:00.000","2016-01-24T17:30:00.000","738"
"24","2016-01-24","FR5036","WRO","EPMO","2016-01-24T16:10:00.000","2016-01-24T17:10:00.000","738"
"25","2016-01-24","FR3898","BGY","EPMO","2016-01-24T21:10:00.000","2016-01-24T23:15:00.000","738"
"26","2016-01-24","FR4055","BVA","EPMO","2016-01-24T15:55:00.000","2016-01-24T18:10:00.000","738"
"27","2016-01-24","FR1404","CGN","EPMO","2016-01-24T19:55:00.000","2016-01-24T21:40:00.000","738"
"28","2016-01-24","FR1057","CRL","EPMO","2016-01-24T17:30:00.000","2016-01-24T19:30:00.000","738"
