"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"1","2016-01-27","W61002","LTN","KTW","2016-01-27T08:15:00.000","2016-01-27T11:30:00.000","32S"
"2","2016-01-27","W61006","LTN","KTW","2016-01-27T20:20:00.000","2016-01-27T23:35:00.000","32S"
"3","2016-01-27","W61016","DSA","KTW","2016-01-27T21:20:00.000","2016-01-28T00:35:00.000","32S"
"4","2016-01-27","W61072","EIN","KTW","2016-01-27T13:55:00.000","2016-01-27T15:40:00.000","32S"
"5","2016-01-27","W61092","DTM","KTW","2016-01-27T08:15:00.000","2016-01-27T09:50:00.000","32S"
"6","2016-01-27","W61098","DTM","KTW","2016-01-27T17:15:00.000","2016-01-27T18:50:00.000","32S"
"7","2016-01-27","W61158","NAP","KTW","2016-01-27T13:00:00.000","2016-01-27T15:00:00.000","32S"
"8","2016-01-27","W61176","BCN","KTW","2016-01-27T20:55:00.000","2016-01-27T23:45:00.000","32S"
"9","2016-01-27","W61202","NYO","KTW","2016-01-27T08:50:00.000","2016-01-27T10:35:00.000","32S"
"10","2016-01-27","W61210","MMX","KTW","2016-01-27T13:00:00.000","2016-01-27T14:20:00.000","32S"
"11","2016-01-27","W61216","TRF","KTW","2016-01-27T08:55:00.000","2016-01-27T10:50:00.000","32S"
"12","2016-01-27","W61284","TLV","KTW","2016-01-27T21:10:00.000","2016-01-27T23:55:00.000","32S"
"13","2016-01-27","W61302","LTN","WAW","2016-01-27T08:20:00.000","2016-01-27T11:45:00.000","32S"
"14","2016-01-27","W61306","LTN","WAW","2016-01-27T14:25:00.000","2016-01-27T17:50:00.000","32S"
"15","2016-01-27","W61310","LTN","WAW","2016-01-27T20:35:00.000","2016-01-27T23:55:00.000","32S"
"16","2016-01-27","W61372","EIN","WAW","2016-01-27T16:45:00.000","2016-01-27T18:35:00.000","32S"
"17","2016-01-27","W61382","CRL","WAW","2016-01-27T21:00:00.000","2016-01-27T22:50:00.000","32S"
"18","2016-01-27","W61392","DTM","WAW","2016-01-27T21:15:00.000","2016-01-27T22:55:00.000","32S"
"19","2016-01-27","W61442","FCO","WAW","2016-01-27T15:15:00.000","2016-01-27T17:45:00.000","32S"
"20","2016-01-27","W61502","NYO","WAW","2016-01-27T13:30:00.000","2016-01-27T15:00:00.000","32S"
"21","2016-01-27","W61510","MMX","WAW","2016-01-27T13:25:00.000","2016-01-27T14:40:00.000","32S"
"22","2016-01-27","W61516","TRF","WAW","2016-01-27T21:40:00.000","2016-01-27T23:30:00.000","32S"
"23","2016-01-27","W61520","BGO","WAW","2016-01-27T09:10:00.000","2016-01-27T11:25:00.000","32S"
"24","2016-01-27","W61602","LTN","GDN","2016-01-27T08:15:00.000","2016-01-27T11:30:00.000","32S"
"25","2016-01-27","W61608","LTN","GDN","2016-01-27T19:35:00.000","2016-01-27T22:45:00.000","32S"
"26","2016-01-27","W61616","DSA","GDN","2016-01-27T20:55:00.000","2016-01-27T23:55:00.000","32S"
"27","2016-01-27","W61618","ABZ","GDN","2016-01-27T20:40:00.000","2016-01-27T23:55:00.000","32S"
"28","2016-01-27","W61632","BVA","GDN","2016-01-27T13:00:00.000","2016-01-27T15:00:00.000","32S"
"29","2016-01-27","W61642","EIN","GDN","2016-01-27T11:35:00.000","2016-01-27T13:15:00.000","32S"
"30","2016-01-27","W61662","DTM","GDN","2016-01-27T08:10:00.000","2016-01-27T09:40:00.000","32S"
"31","2016-01-27","W61676","LBC","GDN","2016-01-27T15:35:00.000","2016-01-27T16:40:00.000","32S"
"32","2016-01-27","W61732","NYO","GDN","2016-01-27T07:40:00.000","2016-01-27T08:45:00.000","32S"
"33","2016-01-27","W61734","NYO","GDN","2016-01-27T21:45:00.000","2016-01-27T22:50:00.000","32S"
"34","2016-01-27","W61744","TRF","GDN","2016-01-27T08:20:00.000","2016-01-27T09:45:00.000","32S"
"35","2016-01-27","W61746","BGO","GDN","2016-01-27T11:40:00.000","2016-01-27T13:25:00.000","32S"
"36","2016-01-27","W61748","SVG","GDN","2016-01-27T18:00:00.000","2016-01-27T19:35:00.000","32S"
"37","2016-01-27","W61766","AES","GDN","2016-01-27T16:40:00.000","2016-01-27T18:35:00.000","32S"
"38","2016-01-27","W61802","LTN","WRO","2016-01-27T07:55:00.000","2016-01-27T11:00:00.000","32S"
"39","2016-01-27","W61826","EIN","WRO","2016-01-27T13:40:00.000","2016-01-27T15:10:00.000","32S"
"40","2016-01-27","W61880","TRF","WRO","2016-01-27T21:55:00.000","2016-01-27T23:40:00.000","32S"
"41","2016-01-27","W61902","LTN","POZ","2016-01-27T16:20:00.000","2016-01-27T19:25:00.000","32S"
"42","2016-01-27","W61916","DSA","POZ","2016-01-27T20:35:00.000","2016-01-27T23:35:00.000","32S"
"43","2016-01-27","W61922","BVA","POZ","2016-01-27T16:30:00.000","2016-01-27T18:25:00.000","32S"
"44","2016-01-27","W62066","LTN","LUZ","2016-01-27T20:15:00.000","2016-01-27T23:50:00.000","32S"
"45","2016-01-27","W62080","TRF","LUZ","2016-01-27T15:10:00.000","2016-01-27T17:10:00.000","32S"
